exper,male,school,wage
9,0,13,6.3152957
12,0,12,5.4797702
11,0,11,3.64217
9,0,14,4.5933366
8,0,14,2.4181576
9,0,14,2.094058
8,0,12,5.5120039
10,0,12,3.5484271
12,0,10,5.8182263
7,0,12,3.8277805
10,0,14,6.7368937
10,0,13,12.861342
10,0,13,7.655561
9,0,10,2.4497795
10,0,13,6.1056623
3,0,15,8.2680063
9,0,14,1.8624055
13,0,11,3.9808917
10,0,12,4.7634602
11,0,12,6.3805957
8,0,14,5.631124
7,0,11,2.4880574
7,0,14,1.2237383
5,0,12,1.3456535
5,0,14,.75111163
10,0,14,11.330231
11,0,12,3.8947577
6,0,13,2.9985154
11,0,12,3.2678962
9,0,12,1.3551972
10,0,14,4.2871141
11,0,12,7.624939
11,0,13,4.4437861
5,0,12,1.1342815
5,0,15,9.0641842
12,0,12,3.9808917
11,0,12,3.4507053
4,0,14,8.0967293
10,0,13,8.7352142
9,0,15,7.2758451
12,0,12,5.5120039
8,0,15,9.7863588
7,0,14,7.0431161
8,0,11,.78527176
9,0,12,4.0087299
10,0,12,3.6121514
15,0,7,3.1847134
6,0,15,5.8182263
10,0,12,2.2747953
7,0,16,5.4478927
9,0,12,2.4035573
8,0,14,9.0335617
10,0,13,4.9740958
7,0,14,9.3276119
10,0,12,5.8734469
9,0,12,3.2832096
8,0,14,2.1435571
5,0,13,2.5605736
5,0,14,9.1866732
3,0,12,2.835191
10,0,12,5.8976173
7,0,12,2.5332947
8,0,14,8.2680063
8,0,15,14.102052
9,0,11,.72932369
7,0,11,4.5933366
7,0,12,3.3777263
10,0,13,3.1847134
13,0,9,5.007411
5,0,12,2.3189662
9,0,12,3.3879929
10,0,11,2.4497795
9,0,13,5.8182263
10,0,13,5.3588929
7,0,11,7.1432824
6,0,12,5.5996361
8,0,12,3.8277805
6,0,12,8.0713224
9,0,12,3.9439175
11,0,12,6.3455415
7,0,13,5.4836125
9,0,13,6.9801936
9,0,13,10.047012
11,0,12,5.5120039
8,0,15,6.2556868
11,0,12,3.2344744
8,0,10,1.9183215
4,0,14,11.091042
8,0,14,5.1844172
9,0,14,5.1366343
9,0,13,4.2418194
7,0,12,3.9028351
11,0,12,6.7803574
9,0,12,1.0261854
10,0,12,4.5930643
11,0,8,.43868145
9,0,13,7.3493385
8,0,12,4.5933366
7,0,13,4.7245746
6,0,13,4.8172135
4,0,12,8.5304823
7,0,14,6.1951871
10,0,13,4.70469
10,0,12,5.0833416
6,0,12,5.7903881
7,0,16,5.1037073
7,0,14,6.9908342
9,0,12,4.3162055
8,0,13,7.7100272
5,0,12,5.7109838
8,0,12,1.9819298
6,0,12,5.8175869
9,0,13,3.6746693
7,0,13,2.7560019
5,0,14,4.9481497
9,0,12,3.9808917
8,0,13,4.157145
10,0,12,4.744452
8,0,12,6.6136222
6,0,13,2.737576
8,0,13,5.2495275
8,0,12,3.9851789
10,0,12,7.9617834
7,0,13,6.1182561
8,0,12,3.1429923
7,0,13,6.1244488
7,0,12,4.8621578
8,0,10,1.8094963
7,0,12,2.3810942
10,0,12,3.6746693
9,0,13,6.9840207
9,0,13,12.248898
10,0,12,7.3493385
6,0,12,1.9780829
10,0,12,3.2153356
6,0,12,4.7278218
7,0,13,8.7296715
10,0,12,6.6546249
8,0,13,4.6267023
4,0,11,3.0622244
7,0,13,5.9061956
9,0,12,4.4795966
8,0,12,3.3684468
10,0,12,2.807039
5,0,14,7.7241182
7,0,13,3.6945632
7,0,14,6.4988284
8,0,13,2.3891985
6,0,12,4.5933366
8,0,12,4.5933366
7,0,11,4.0829659
4,0,12,2.4560771
8,0,13,7.655561
5,0,14,3.1649325
6,0,13,4.9425378
7,0,12,3.6746693
6,0,10,2.0220401
10,0,12,9.799118
6,0,13,7.5826507
8,0,13,2.9903412
9,0,12,4.2871141
6,0,11,4.5933366
4,0,12,1.2132242
6,0,12,6.1244488
7,0,14,7.1463084
8,0,11,3.3616419
3,0,12,2.1435571
6,0,12,1.9598236
1,0,13,4.3221111
8,0,12,.10289074
5,0,9,2.5477707
8,0,12,7.9617834
8,0,12,6.5739498
7,0,11,4.2871141
4,0,11,3.2938447
6,0,12,6.9107704
9,0,12,4.4479237
5,0,11,.77992982
7,0,12,4.7230921
8,0,12,3.9317448
8,0,10,1.3504086
6,0,13,3.5385704
6,0,12,2.8705478
6,0,11,2.4811139
4,0,12,4.1340032
9,0,12,1.5329547
8,0,12,2.4497795
6,0,11,4.4613442
3,0,13,4.0429139
7,0,11,3.3684468
7,0,14,5.1087251
8,0,11,7.259985
6,0,12,8.2680063
9,0,12,3.2153356
6,0,12,4.914681
6,0,12,5.6395965
9,0,12,4.3036666
9,0,12,4.5933366
7,0,12,2.7186577
7,0,12,4.4053674
10,0,11,2.3828757
7,0,12,7.9617834
4,0,11,4.7890425
8,0,12,9.6096964
6,0,12,.93120277
8,0,11,2.8201187
8,0,13,3.5107076
9,0,12,3.9808917
4,0,12,5.5120039
7,0,12,2.9488087
5,0,12,4.5933366
7,0,10,4.4785032
7,0,12,3.0421143
3,0,12,3.5783296
8,0,12,5.2037802
2,0,12,2.6154652
8,0,12,2.7997479
3,0,12,6.5486531
6,0,11,4.4855118
9,0,11,2.6211634
9,0,12,7.8340545
8,0,13,6.2784348
8,0,12,4.5933366
4,0,13,6.4306712
8,0,12,5.2477255
7,0,12,12.535892
5,0,12,2.2798843
5,0,14,7.655561
3,0,12,4.899559
9,0,11,9.8369522
6,0,12,7.3493385
7,0,11,4.4605327
8,0,8,1.7646227
9,0,11,6.5870872
9,0,10,3.7913253
7,0,11,5.8182263
5,0,11,9.5601149
4,0,10,3.1376486
8,0,11,4.7938485
5,0,10,.51889426
6,0,10,2.9433579
6,0,11,3.3924122
4,0,11,6.137208
4,0,12,4.3854117
9,0,11,3.6746693
6,0,12,2.8172464
4,0,11,3.9196472
7,0,11,2.9236712
8,0,10,6.0884228
3,0,10,1.7095431
8,0,11,9.1866732
2,0,11,2.5297811
5,0,12,4.813169
4,0,11,4.0185657
9,0,10,3.1867051
5,0,11,1.5696087
7,0,11,3.0622244
4,0,11,4.899559
5,0,11,5.1574306
7,0,10,1.7085372
5,0,11,5.7562599
5,0,11,5.7413645
7,0,11,9.9079971
3,0,10,2.3700192
8,0,11,4.77707
8,0,11,3.3684468
7,0,12,7.9617834
4,0,11,3.0009799
6,0,11,4.8344793
8,0,10,5.0526705
4,0,12,6.4306712
6,0,11,.7655561
5,0,11,5.2002697
5,0,10,3.480561
4,0,11,.92954832
8,0,10,1.8761644
4,0,12,4.2871141
7,0,13,3.7555583
6,0,11,3.6746693
7,0,11,15.923567
5,0,12,5.4082565
5,0,12,5.1366343
2,0,11,1.7122115
4,0,10,4.4607615
9,0,10,2.9013278
9,0,10,6.0445247
9,0,10,8.2680063
7,0,11,6.2856183
8,0,12,5.6651154
7,0,10,5.6651154
3,0,12,3.1847134
4,0,11,5.8614359
8,0,11,6.5118742
7,0,11,1.7777507
9,0,10,6.8243856
8,0,11,4.2462845
5,0,11,5.3895149
5,0,8,2.9785089
6,0,10,1.6331863
5,0,10,2.7560019
7,0,11,3.9709094
8,0,10,6.2605476
6,0,10,3.2570932
4,0,10,3.155134
7,0,10,6.1244488
7,0,10,3.6938918
8,0,10,3.1154804
9,0,10,.91866732
6,0,12,12.248898
8,0,10,1.728474
5,0,11,5.5872164
5,0,10,4.4437861
3,0,9,3.2729404
7,0,9,3.6746693
9,0,14,5.144537
8,0,15,5.2086434
11,0,12,6.4512472
12,0,12,4.5933366
11,0,12,3.8964682
6,0,14,5.0179305
10,0,14,5.7569818
11,0,11,.42462844
9,0,15,5.090642
9,0,14,5.867435
11,0,12,4.6083708
12,0,11,4.2871141
9,0,10,4.4729118
11,0,12,7.1237011
7,0,15,8.5495663
8,0,15,10.411563
6,0,14,3.0330603
3,0,14,5.9713378
13,0,11,5.4439545
7,0,14,2.2568834
9,0,13,5.6617126
10,0,10,2.5477707
11,0,12,5.9021716
12,0,12,2.8784909
11,0,12,3.7103457
9,0,13,7.6471357
10,0,13,4.4897275
9,0,12,4.2194338
9,0,14,6.1244488
4,0,14,3.9808917
13,0,11,5.1196337
8,0,12,3.3868201
8,0,13,1.6543965
10,0,13,8.9327326
7,0,12,5.1366343
10,0,13,3.9808917
14,0,9,5.7526183
9,0,14,8.1731586
9,0,12,7.5932665
9,0,14,10.419404
11,0,12,4.4912624
8,0,12,4.0143447
10,0,12,3.0896473
8,0,14,3.7733572
8,0,14,5.9713378
10,0,12,3.821656
9,0,13,5.8182263
10,0,12,4.005929
11,0,12,5.5120039
11,0,12,6.7368937
4,0,16,9.4361877
7,0,13,7.0431161
8,0,13,7.3065743
11,0,12,6.6494017
13,0,10,9.1993093
11,0,12,7.655561
11,0,12,7.6072102
7,0,14,7.2741747
8,0,14,3.3684468
11,0,12,2.8708353
10,0,12,5.6962352
10,0,12,6.2704201
15,0,6,4.3036666
8,0,14,11.45272
7,0,14,1.2489072
7,0,13,5.0726042
7,0,12,7.0147872
9,0,12,6.4306712
9,0,12,6.7368937
9,0,12,3.6746693
9,0,10,.4496066
8,0,13,7.483285
10,0,9,3.2148526
7,0,13,3.2920012
9,0,12,5.0593271
7,0,12,3.0622244
11,0,9,3.0330603
7,0,12,3.642875
9,0,12,3.4616449
9,0,12,4.5933366
9,0,13,6.8593826
10,0,12,5.1924677
7,0,13,9.0723658
4,0,15,7.9617834
6,0,9,2.4497795
8,0,14,14.698677
6,0,13,.42871141
7,0,11,7.9617834
7,0,13,7.3493385
5,0,13,5.0551004
7,0,13,5.1848807
12,0,9,3.6316907
9,0,12,4.9852786
9,0,11,.07655561
5,0,12,.47473988
8,0,13,7.0929027
7,0,12,2.7322228
9,0,12,4.0227957
8,0,13,4.9358764
9,0,10,3.6746693
8,0,14,3.3093662
8,0,12,5.3737097
8,0,12,4.757472
6,0,10,2.6628039
8,0,10,5.2942805
9,0,12,3.2663727
6,0,10,4.8407645
5,0,11,1.1857976
6,0,12,4.1571269
6,0,12,6.7368937
9,0,11,2.8466711
5,0,10,2.7560019
8,0,12,3.9808917
7,0,11,6.0306273
9,0,12,5.3744946
12,0,8,2.1435571
12,0,9,4.5933366
7,0,12,3.3684468
8,0,12,5.7511754
10,0,8,6.1480951
1,0,12,2.7746778
8,0,11,4.7651572
4,0,11,2.4497795
9,0,12,7.0122128
4,0,12,8.1659317
6,0,9,3.5433037
8,0,12,2.3707545
8,0,11,7.7307029
8,0,12,3.3684468
8,0,12,6.1244488
8,0,12,4.5933366
9,0,9,3.7467215
6,0,12,5.9713378
7,0,11,1.8872375
4,0,11,1.8387491
10,0,9,2.6028907
9,0,10,3.0622244
9,0,11,5.8021092
8,0,11,7.3493385
5,0,8,1.4812621
8,0,9,4.8285041
8,0,11,6.4994149
5,0,11,3.6746693
9,0,11,5.7291141
8,0,10,6.8243856
6,0,11,3.2459579
7,0,11,4.7691216
9,0,11,3.4634552
9,0,9,5.5120039
9,0,11,5.8903451
5,0,10,3.2563531
5,0,10,3.8602586
9,0,10,4.845942
5,0,12,8.0978823
8,0,11,4.1030049
3,0,10,3.3684468
8,0,11,4.2871141
4,0,12,5.2764482
7,0,11,4.77707
7,0,9,4.8745613
8,0,11,3.7359138
7,0,10,5.8182263
8,0,10,4.0194111
8,0,11,5.6816483
8,0,11,7.655561
7,0,11,7.3493385
8,0,12,4.6834021
6,0,7,5.7903881
6,0,9,2.0489724
7,0,11,2.3221869
4,0,11,9.9263792
5,0,11,4.9761147
6,0,10,3.7969756
6,0,11,4.8144293
4,0,11,2.2707007
3,0,10,5.5732484
10,0,10,7.3720217
9,0,11,6.4729948
8,0,9,1.5824662
5,0,9,3.2449772
10,0,5,.60316539
6,0,8,1.9798396
5,0,10,7.3493385
4,0,10,4.9628448
8,0,10,3.221889
4,0,11,5.1075592
5,0,10,4.6855555
9,0,6,2.2116065
5,0,9,2.2747953
3,0,11,2.6444833
9,0,10,7.4138064
8,0,10,7.2633815
7,0,10,7.5886736
9,0,10,7.4694772
9,0,7,2.6589637
6,0,9,5.7259402
9,0,8,2.7560019
6,0,9,4.3366308
9,0,15,8.9825249
9,0,15,7.7025628
7,0,13,3.6396725
8,0,12,2.6710498
6,0,14,5.614078
11,0,12,5.111331
8,0,12,5.3973274
9,0,12,2.3653045
9,0,15,7.0194926
10,0,12,4.5267663
10,0,13,9.6241341
12,0,12,7.0914669
12,0,12,4.5495906
11,0,13,5.5201697
8,0,14,2.5225453
7,0,15,10.557061
7,0,15,7.699307
11,0,12,6.0268478
6,0,16,5.0417628
9,0,15,5.010365
12,0,9,3.9808917
8,0,12,3.7784736
10,0,12,4.4912624
8,0,10,.22966683
11,0,12,6.170382
11,0,13,12.248898
12,0,12,3.9808917
14,0,7,.44479236
8,0,13,4.4317493
10,0,12,3.0622244
11,0,12,2.5077994
10,0,12,3.1070375
10,0,13,6.6348195
9,0,12,6.0251336
10,0,12,5.6969624
11,0,12,12.312037
7,0,15,3.8901222
10,0,12,2.7560019
12,0,12,5.1751595
12,0,10,2.7052941
8,0,16,4.1845131
11,0,13,3.9352152
11,0,12,4.3826332
10,0,13,10.899088
10,0,12,7.3961921
9,0,15,6.4306712
7,0,10,14.091652
8,0,15,6.8243856
8,0,14,3.605336
12,0,12,5.6927972
9,0,12,2.4115016
13,0,11,5.3588929
11,0,12,.42581126
11,0,12,3.0622244
11,0,12,2.4566932
10,0,12,6.7368937
8,0,15,12.669745
3,0,15,2.4126616
8,0,12,2.5735056
10,0,14,9.8344212
6,0,14,.61441416
11,0,12,6.616024
10,0,14,15.127389
10,0,12,9.3927031
12,0,12,4.9608035
12,0,12,4.8932858
10,0,12,2.2116065
12,0,12,3.3684468
11,0,12,5.5271883
12,0,12,7.5456271
8,0,12,5.1328712
7,0,16,9.3668041
6,0,16,5.9323092
12,0,12,3.7945521
10,0,13,3.8996491
10,0,12,8.5742283
11,0,13,6.2775602
10,0,14,3.6746693
11,0,12,1.1961365
5,0,12,3.0622244
8,0,14,5.7124906
12,0,12,6.7924085
11,0,13,3.116158
10,0,12,7.5636945
10,0,12,3.8496535
12,0,12,5.3725247
11,0,13,3.0547252
11,0,13,9.5903301
8,0,15,12.395986
9,0,13,5.9250484
12,0,12,4.9485002
11,0,12,3.9196472
10,0,13,3.0622244
3,0,15,3.2685215
8,0,12,11.154189
11,0,12,2.9856689
10,0,12,6.103013
7,0,12,4.1449633
10,0,10,6.3694267
6,0,13,2.9890654
9,0,15,6.2729201
6,0,16,5.3674946
10,0,12,4.3711753
10,0,12,4.4096031
12,0,11,4.069356
10,0,11,3.9602654
7,0,16,6.7368937
7,0,14,.96214908
8,0,12,6.5327454
10,0,14,5.5028172
9,0,10,2.7513723
16,0,8,2.8640234
8,0,15,6.5550456
9,0,15,4.77707
9,0,15,4.9631896
9,0,15,6.1244488
8,0,15,6.7082262
8,0,15,6.0938268
5,0,14,8.9171972
7,0,15,5.2588758
8,0,15,3.0219908
12,0,10,3.821656
13,0,10,5.5120039
8,0,15,5.5120039
10,0,12,3.1070375
7,0,12,8.0830288
9,0,9,21.231422
9,0,14,5.8182263
7,0,14,4.9307146
9,0,15,4.4136348
8,0,15,7.4173207
10,0,12,3.6746693
8,0,15,5.8182263
11,0,12,3.2235513
13,0,9,1.6211777
6,0,12,1.0158576
12,0,9,6.3796344
12,0,12,3.5850432
11,0,11,2.7560019
10,0,14,.77298868
9,0,12,2.1373916
11,0,11,3.5521803
11,0,12,4.3051586
10,0,10,3.5746782
6,0,16,10.128064
8,0,15,4.4446001
12,0,12,4.746448
10,0,14,5.9158764
10,0,14,5.3106217
9,0,15,8.6984491
9,0,15,15.311122
11,0,12,2.8100412
8,0,15,8.0223293
7,0,15,7.8723254
7,0,15,12.948834
9,0,15,3.5276825
9,0,14,7.1700864
9,0,15,8.3598728
9,0,15,7.1113429
8,0,15,11.18476
9,0,15,8.5742283
7,0,14,2.9973774
8,0,14,9.3178654
11,0,10,6.2445359
7,0,13,2.1231422
3,0,14,2.3945212
9,0,15,7.1432824
8,0,15,5.9028225
7,0,15,7.736146
11,0,13,3.6512637
6,0,12,2.6650321
9,0,12,32.497398
12,0,12,8.4211168
7,0,13,6.0884228
10,0,14,1.559605
12,0,12,6.0325823
12,0,12,5.8794708
7,0,16,8.7273397
7,0,12,2.7560019
9,0,14,11.777786
11,0,12,7.6629605
9,0,15,6.8770161
9,0,14,7.0431161
8,0,12,5.8542523
11,0,12,.91121984
11,0,12,1.6331863
8,0,15,9.0165501
8,0,12,2.7014275
9,0,12,7.9268122
10,0,12,5.8182263
9,0,14,8.2719831
13,0,9,6.7691278
9,0,12,8.2935247
13,0,9,7.2052341
10,0,12,6.4245872
11,0,12,7.2831283
8,0,14,5.0685096
9,0,12,8.369812
10,0,12,7.2325058
10,0,12,5.1753278
5,0,12,4.1082473
9,0,13,4.2871141
7,0,14,8.7160578
6,0,14,6.7368937
8,0,12,4.1739364
13,0,10,3.4450026
10,0,13,9.1866732
10,0,12,7.5191255
10,0,12,3.0115492
11,0,12,4.1449633
9,0,13,16.003584
10,0,8,3.0944583
9,0,14,11.024008
7,0,11,1.8115548
8,0,14,7.655561
11,0,12,6.4306712
9,0,12,4.0727587
7,0,12,1.9035069
11,0,12,6.0504055
8,0,12,2.6265678
10,0,12,3.7913253
11,0,12,5.0924077
7,0,13,7.3065743
3,0,15,4.4855118
8,0,14,12.283895
4,0,12,2.9856689
9,0,14,15.311122
7,0,12,1.2156506
8,0,12,4.3967509
9,0,13,3.5521803
9,0,13,6.1863971
7,0,12,2.562413
9,0,10,2.5971549
9,0,10,4.6443739
6,0,12,2.5787153
8,0,13,4.2062254
11,0,11,4.5933366
6,0,12,1.5923567
10,0,12,2.7408197
7,0,13,4.4402256
9,0,12,1.6939964
8,0,14,6.3694267
5,0,12,1.9200975
9,0,14,7.2624378
5,0,12,3.6746693
10,0,12,3.6746693
9,0,13,3.821656
9,0,14,7.655561
8,0,14,9.6708574
11,0,12,6.7209859
8,0,14,7.1009598
9,0,14,10.795639
9,0,14,9.2741652
8,0,12,4.0783343
10,0,12,5.8182263
7,0,14,7.1349831
10,0,12,3.8996491
8,0,14,8.846426
11,0,12,4.2871141
9,0,14,20.99811
9,0,14,6.6302905
3,0,15,3.9808917
6,0,12,2.6951029
8,0,14,7.655561
10,0,12,6.848846
11,0,12,5.5732484
9,0,12,.66870624
11,0,12,5.2531357
8,0,14,8.0820522
9,0,12,3.3458078
10,0,12,10.148103
10,0,12,7.3493385
12,0,7,3.0622244
11,0,12,2.9292202
8,0,12,4.1588421
11,0,12,7.1299553
7,0,14,5.3895149
7,0,12,1.0919018
9,0,14,4.5933366
10,0,12,5.0526705
14,0,7,3.1450896
10,0,9,4.6391492
7,0,14,6.1244488
8,0,13,30.862171
7,0,14,9.1866732
7,0,15,10.313191
8,0,13,6.7368937
7,0,13,7.6963906
6,0,14,16.971827
8,0,13,6.8243856
8,0,12,4.50667
7,0,15,4.1878495
11,0,12,3.1756401
11,0,12,5.2057815
11,0,12,2.1963542
9,0,13,4.3823576
8,0,14,4.5933366
11,0,12,4.5933366
12,0,10,6.4306712
6,0,12,3.9156313
12,0,9,3.0622244
6,0,14,5.8362422
9,0,10,7.3493385
7,0,14,8.7579622
9,0,14,10.795639
13,0,10,5.7903881
15,0,8,2.388535
6,0,15,2.91257
8,0,14,7.1130652
4,0,12,2.11308
10,0,12,7.475122
6,0,13,1.1905471
8,0,14,7.4126949
7,0,14,2.5477707
8,0,14,10.464058
8,0,15,7.4309978
7,0,12,3.3760211
7,0,15,6.1244488
8,0,9,3.2842357
9,0,13,6.7368937
10,0,12,4.7120757
7,0,9,8.074831
10,0,10,4.3526835
10,0,12,15.311122
6,0,14,2.3246083
8,0,14,7.1962276
6,0,14,9.737874
8,0,14,3.1847134
8,0,14,9.2758646
8,0,14,6.1621542
12,0,10,5.7808671
9,0,13,7.9617834
11,0,11,4.6436086
7,0,14,2.7639749
8,0,9,2.8810906
8,0,13,2.7173321
7,0,10,1.8366282
11,0,12,2.7560019
10,0,12,4.5593457
7,0,12,3.0350959
8,0,12,3.9808917
6,0,15,6.1244488
7,0,14,12.861342
11,0,12,7.8392944
8,0,11,2.8034449
7,0,14,13.99874
8,0,14,2.9193206
6,0,15,10.411563
8,0,14,5.5290165
9,0,13,4.4096031
10,0,12,4.899559
7,0,15,5.6712394
7,0,11,4.1340032
8,0,14,7.2517195
9,0,14,8.9570065
7,0,14,11.636453
8,0,13,3.276454
6,0,14,3.6307807
5,0,11,2.9711611
6,0,13,5.5640969
8,0,15,6.1351748
8,0,14,7.2517195
7,0,15,14.649096
7,0,14,10.311001
9,0,14,5.5120039
4,0,12,1.1362041
4,0,12,5.4284887
9,0,12,13.178124
9,0,14,8.7894573
10,0,12,6.0251336
7,0,14,2.8847041
9,0,14,4.948729
11,0,12,5.7263598
8,0,15,4.899559
10,0,12,3.9808917
7,0,14,7.8392944
8,0,14,8.2796631
9,0,12,6.4994149
5,0,12,1.7249894
8,0,13,4.899559
6,0,14,12.132241
11,0,12,3.122268
13,0,9,5.3978195
6,0,13,8.5742283
7,0,13,6.4306712
6,0,13,7.0063696
6,0,13,5.4346642
6,0,13,8.9623184
8,0,13,10.978937
8,0,13,8.8192062
8,0,13,3.2386916
10,0,12,5.6051869
9,0,13,7.1812162
8,0,13,6.1556005
8,0,12,6.7368937
6,0,13,7.8739052
9,0,12,5.5455208
5,0,13,7.9617834
10,0,12,2.3873413
7,0,12,3.0622244
6,0,13,1.0686958
8,0,13,4.1521688
6,0,12,4.0312829
10,0,12,5.6533375
4,0,12,16.472656
8,0,10,1.5923567
10,0,12,4.2819676
3,0,13,9.4783134
6,0,12,1.7402805
9,0,13,3.3684468
9,0,13,5.4268661
7,0,13,5.2057815
9,0,12,3.5336626
7,0,13,9.1866732
6,0,11,1.8587822
9,0,12,1.305408
11,0,11,3.8176374
8,0,13,4.4096031
7,0,11,.21231422
7,0,15,8.7119818
7,0,12,4.0873327
6,0,13,5.6600356
9,0,12,8.5742283
8,0,12,2.6580811
8,0,12,2.4417298
9,0,12,7.2956581
6,0,14,7.9617834
8,0,12,1.5923567
8,0,13,7.1962276
9,0,12,5.1681752
7,0,14,8.3151789
6,0,12,3.0504291
10,0,12,1.3965455
9,0,12,2.8221056
6,0,12,3.2587764
9,0,12,5.5120039
8,0,12,4.7426858
9,0,12,5.7903881
4,0,14,9.8598728
8,0,12,3.6746693
6,0,12,2.8576691
8,0,12,3.9439175
3,0,12,2.1482046
10,0,10,3.9808917
8,0,13,8.5742283
6,0,13,5.8078904
7,0,13,4.3240719
2,0,13,6.7341957
5,0,9,1.1927766
10,0,12,4.1340032
8,0,12,4.5933366
11,0,10,12.176846
7,0,13,7.4358015
8,0,13,6.8331013
10,0,12,8.9171972
9,0,12,8.2839365
7,0,13,7.3519092
7,0,12,.68243855
7,0,12,3.703155
6,0,12,5.850512
8,0,12,7.1513023
8,0,13,7.1615858
6,0,13,1.1853772
8,0,12,5.2406673
7,0,13,3.7809381
8,0,13,3.5265975
6,0,13,7.655561
6,0,13,4.8085103
8,0,13,5.3391209
7,0,13,3.7436631
9,0,12,4.4708476
10,0,12,5.7222238
5,0,12,1.7292562
7,0,12,1.3339114
9,0,12,3.3463256
8,0,12,4.9806366
9,0,13,5.6651154
6,0,10,4.4096031
6,0,12,.67570692
10,0,12,8.9303303
9,0,12,3.1154804
10,0,12,6.0868244
9,0,12,3.0622244
8,0,12,6.038734
7,0,14,6.5225382
9,0,13,5.2057815
8,0,12,2.3331234
10,0,11,4.8211493
8,0,12,6.665679
9,0,13,5.2789035
9,0,13,5.6395965
10,0,12,6.8043108
7,0,12,5.5120039
8,0,13,7.9617834
6,0,14,12.552361
6,0,12,9.1101856
8,0,11,4.5495906
9,0,12,6.2953634
8,0,12,6.1753445
7,0,13,6.1244488
6,0,12,3.499685
8,0,12,3.3665047
7,0,13,6.1223054
8,0,13,5.2980986
9,0,12,4.3126326
8,0,13,5.0745435
6,0,12,3.821656
6,0,13,6.2775602
8,0,12,8.7273397
7,0,13,5.2608833
7,0,13,10.942348
6,0,13,5.5732484
9,0,12,9.3302145
4,0,12,7.9141083
5,0,12,5.3895149
9,0,12,2.9091132
11,0,11,9.01334
9,0,12,4.9927015
3,0,12,2.2456312
9,0,12,3.3684468
8,0,13,7.3493385
8,0,12,4.0589485
8,0,11,3.0293615
5,0,12,2.4497795
4,0,13,2.7186577
6,0,12,.67982388
9,0,12,5.2370844
7,0,12,3.1790366
8,0,13,4.899559
6,0,8,.097991183
7,0,12,2.5641816
8,0,13,11.373977
8,0,13,5.7039642
7,0,13,8.0098429
11,0,9,.9080649
8,0,13,7.4063101
8,0,13,2.8365867
7,0,13,3.6676161
7,0,12,2.9856689
9,0,12,4.6545811
8,0,12,2.7890079
10,0,12,2.1021211
8,0,12,4.0904574
6,0,14,8.6481438
9,0,11,3.017097
8,0,12,2.5477707
6,0,9,1.1450654
7,0,13,7.655561
11,0,11,7.0771408
8,0,13,1.7498425
10,0,12,5.5120039
8,0,12,3.9808917
6,0,12,4.0146689
4,0,12,3.9705517
10,0,12,3.5385704
5,0,14,4.4626555
7,0,13,6.1244488
9,0,12,4.088263
7,0,12,1.7076211
6,0,13,6.7368937
3,0,13,.59416294
4,0,12,1.4519969
6,0,13,9.799118
8,0,13,5.6971617
9,0,12,16.780991
9,0,12,2.8626637
8,0,14,5.7903881
7,0,13,7.50245
3,0,12,3.5498397
9,0,13,2.4146943
13,0,7,4.3551636
10,0,11,1.9954344
9,0,12,1.1708505
8,0,13,7.3493385
6,0,11,4.2704849
6,0,9,2.6539278
6,0,12,3.35233
6,0,12,5.9713378
9,0,13,4.899559
8,0,13,1.6379756
